Year,max,min,avg
1958,317.5,312.66,315.241
1959,318.29,313.26,315.9741667
1960,320.03,313.83,316.9075
1961,320.58,314.8,317.6375
1962,321.01,315.42,318.4508333
1963,322.25,315.99,318.9941667
1964,322.25,316.7,319.6175
1965,322.16,317.3,320.0441667
1966,324.01,318.1,321.3833333
1967,325,319.31,322.1575
1968,325.57,320.25,323.045
1969,327.34,321.78,324.6241667
1970,328.13,323.1,325.68
1971,328.92,323.36,326.32
1972,330.07,324.93,327.4533333
1973,332.48,327.18,329.6766667
1974,333.19,327.28,330.1841667
1975,333.94,328.34,331.1133333
1976,334.77,328.75,332.04
1977,336.93,331.27,333.8316667
1978,338.03,332.37,335.4033333
1979,339.26,333.98,336.8416667
1980,341.48,336.15,338.7516667
1981,343.03,336.95,340.105
1982,344.63,338.28,341.4475
1983,346.03,340.35,343.0541667
1984,347.63,341.4,344.6508333
1985,349.06,343.13,346.1158333
1986,350.38,344.51,347.4208333
1987,352.09,346.52,349.1941667
1988,354.21,348.92,351.5666667
1989,355.86,350.05,353.1208333
1990,357.32,351.31,354.3941667
1991,359.13,352.25,355.6075
1992,359.59,352.96,356.4458333
1993,360.19,354.03,357.1
1994,361.65,355.73,358.8333333
1995,363.69,357.99,360.82
1996,365.13,359.54,362.6066667
1997,366.64,360.29,363.7291667
1998,369.42,364.02,366.7
1999,370.99,364.81,368.3775
2000,371.82,367,369.5491667
2001,373.85,368.18,371.1425
2002,375.76,370.55,373.2791667
2003,378.6,373.15,375.8025
2004,380.62,374.25,377.5225
2005,382.45,376.7,379.7958333
2006,385.03,378.85,381.8958333
2007,386.56,380.96,383.7916667
2008,388.54,382.99,385.6041667
2009,390.14,384.43,387.43
2010,393,386.85,389.8991667
2011,394.19,389,391.6525
2012,396.74,391.05,393.8533333
2013,399.78,393.45,396.52
2014,401.78,395.38,398.6475
2015,403.96,397.63,400.8341667
2016,407.72,401.05,404.2391667
2017,409.69,403.37,406.5533333
2018,411.23,405.51,408.5208333
2019,414.66,410.83,412.7416667
