YR,ICE_EXTENT
1979,6998892.433
1980,7862302.527
1981,7203627.698
1982,7342438.729
1983,7537161.907
1984,6839268.654
1985,6790226.564
1986,7387939.512
1987,7298438.906
1988,7468998.976
1989,7183830.265
1990,6324112.083
1991,6455794.659
1992,7294791.561
1993,6220624.815
1994,7150740.914
1995,6084582.268
1996,7593789.238
1997,6845361.727
1998,6425787.919
1999,6178309.18
2000,6373632.164
2001,6798659.948
2002,5814063.217
2003,6211162.855
2004,6064216.95
2005,5496227.521
2006,5968885.656
2007,4220924.572
2008,4714050.405
2009,5314918.981
2010,4857585.563
2011,4512820.032
2012,3404542.729
2013,5174751.862
2014,5257618.161
2015,4593913.96
2016,4325422.284
2017,4811455.638
2018,4600000
