year,no_smoothing,lowess_smoothed
1980,0.26,0.2
1981,0.32,0.21
1982,0.14,0.22
1983,0.31,0.21
1984,0.16,0.21
1985,0.12,0.22
1986,0.18,0.24
1987,0.32,0.27
1988,0.39,0.31
1989,0.27,0.33
1990,0.45,0.33
1991,0.4,0.33
1992,0.22,0.33
1993,0.23,0.33
1994,0.31,0.34
1995,0.45,0.37
1996,0.33,0.4
1997,0.47,0.43
1998,0.61,0.45
1999,0.39,0.48
2000,0.4,0.51
2001,0.54,0.53
2002,0.63,0.55
2003,0.62,0.59
2004,0.54,0.61
2005,0.68,0.62
2006,0.64,0.63
2007,0.66,0.64
2008,0.54,0.64
2009,0.66,0.64
2010,0.73,0.65
2011,0.61,0.67
2012,0.64,0.7
2013,0.69,0.74
2014,0.75,0.79
2015,0.9,0.83
2016,1.02,0.87
2017,0.92,0.92
2018,0.85,0.96
